Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g)
omelete de espinafre,150,164,5.0,10.0,11.0
panqueca de aveia sem gluten e banana com chocolate,52,104,15.8,4.4,2.8
iogurte de granola e mel,150,125,18.0,3.9,4.1
açaí com morango congelado,60,60,10.0,0.0,1.8
tapioca recheada com carne moida e queijo,236,312,52.6,14.4,5.6
muffin de frango e legumes,40,163,13.8,11.8,5.9
"tapioca doce com banana, mel e amendoim",150,426,73.0,7.0,12.0
pão de queijo de mandioca,22,53,10.1,0.1,1.1
panqueca de batata doce,30,116,28.0,0.0,0.0
bolo sem gluten de laranja e chia,60,257,42.0,2.4,9.2
bolo sem gluten de abacaxi com nozes,40,127,11.0,2.5,8.3
bolo sem gluten de aveia com gotas de chocolate,60,201,29.0,2.7,8.3
omelete com mussarela e peito de frango,75,139,1.3,12.6,9.1
omelete com creme de ricota,150,115,2.0,9.0,0
omelete de carne de sol,200,334,11.0,36.7,19.9
pão de milho com queijo,55,67,10.0,3.0,3.0
pão de melado recheado,480,1759,220.7,19.1,90.3
pão de batata doce com frango,90,123,21.8,7.9,0.5
pão de batata doce com calabresa e cream cheese,150,235,3.8,21.0,10.0
pão de queijo com batata doce e chia,40,97,14.6,1.0,3.8
tapioca com queijo branco,100,181,29.1,6.0,6.0
tapioca com peito de peru e queijo,93,223,38.2,5.3,5.8
tapioca com maçã caramelizada,60,186,38.0,0.3,0.0
salada de frutas,160,80,21.0,1.0,0.2
ovos mexidos com tomate,160,217,4.6,12.6,14.0
biscoito de banana com canela,30,138,21.0,2.6,4.8
biscoito de banana com gotas de chocolate,20,92,12.0,1.3,4.3
bolo de tapioca,100,145,23.9,2.1,4.3
crepioca de chocolate,100,327,34.4,13.9,14.9
crepioca de frango com queijo,100,455,14.0,10.0,6.0
crepioca de presunto e queijo,100,220,11.0,9.4,7.2
crepioca de aveia sem gluten e banana,100,161,18.0,9.0,0.0
bolo de cenoura,35,135,29.0,1.6,1.5
pudim de chia,100,88,10.0,3.0,5.0
mingau de aveia sem gluten,338,103,16.0,4.6,2.3
0.0,100,244,52.8,6.9,0.6
smoothie de pitaya com banana,483,460,101.8,5.2,7.9
smoothie de mamão,100,118,22.0,7.6,0.0
smoothie de manga com maracuja,120,80,20.0,1.0,0.0
pudim de tapioca,100,235,22.0,1.0,13.0
granola com frutas e mel,40,154,26.0,4.6,3.4
ovo cremoso com queijo e requiejão,78,185,2.5,12.6,12.8
banana amassada com cacau,15,36,0.0,0.0,0.0
suco verde,180,81,21.5,1.2,0.4
sanduiche de presunto e espinafre,1,400,0.0,30.0,0.0
mingau de milho branco,200,271,36.7,4.9,11.1
biscoito de tapioca com queijo parmesão,100,320,36.0,14.0,13.0
quibe de quinoa,120,246,12.9,31.5,7.0
torta de amendoa,100,310,36.0,4.0,16.0
mingau de banana,160,248,45.2,8.5,4.0
cereal de flocos de milho e arroz,50,186,34.0,2.2,4.6
pé de moleque (barra de amendoim),12,57,5.1,2.3,3.6
biscoito de mel e chocolate,72,174,34.0,4.0,3.0
cookie de coco,10,63,4.4,1.1,4.8
barrinha de gergelim e linhaça,10,45,3.5,1.6,3.3
cookie de aveia com coco,10,21,3.0,0.6,0.7
wrap de couve com frango e queijo,300,263,7.0,43.0,7.0
quiche alho poró e ricota,120,295,20.8,19.7,14.9
quibe de berinjela e ricota,132,210,32.4,12.2,4.6
milho cozido com manteiga,100,161,25.3,5.8,4.8
aipim cozido com manteiga,350,125,30.1,0.6,0.3
mingau de arroz,21,71,17.0,0.9,0.0
tacos de milho com filetes de lombo suíno,35,93,4.7,5.0,6.1
smoothie de frutas vermelhas,80,39,7.2,0.6,0.2
parfait iogurte com manga e frutas vermelhas,140,275,54.0,4.1,4.7
burrito de milho com frango e queijo,90,218,36.0,8.1,4.5
burrito de milho com costelinha ,100,128,16.0,5.7,4.5
burrito de milho com creme de avelã,75,306,41.0,4.4,14.0
salada de atum,326,226,13.0,20.0,11.0
torrada sem glúten com abacate ,900,939,141.0,60.0,21.0
pudim de banana,50,56,9.5,3.0,1.0
abacate com leite,100,117,9.2,2.5,8.6
banana com leite e pasta de amendoim,300,5,1.0,0.0,0.0
"salada de frango com tomate, alface e abacate",245,233,7.5,17.5,17.7
esfirra de carne feita com farinha de arroz,43,126,19.0,5.1,3.2
esfirra aberta de aveia,54,181,30.2,7.3,3.3
esfirra de frango com requeijão feita com farinha de arroz,55,102,12.0,3.1,4.0
torta de frango feita com farinha de arroz,100,257,21.0,14.0,13.0
torta de legumes,103,148,15.8,4.7,7.4
torta de carne moída feita com farinha de arroz,50,107,5.6,6.5,6.2
bola de carne feita com batata doce,100,303,34.0,11.0,12.0
ovos mexidos com requiejão cremoso,133,174,2.2,15.0,11.3
ovos mexidos com abobrinha,284,132,11.5,8.7,6.1
ovos mexidos com cogumelos,100,91,2.0,6.4,6.3
empadão de frango com palmito feito com farinha de arroz,150,287,24.0,12.0,19.0
empadão de queijo com alho poró feito com farinha de arroz,150,229,23.1,7.3,11.9
empadão de brocólis feito com farinha de arroz,300,351,42.0,15.0,12.0
empadão de carne feito com farinha de arroz,100,337,37.0,9.3,16.4
biscoito de polvilho ,30,156,26.0,0.9,5.7
vitaminada de banana com leite desnatado,270,99,19.3,6.5,0.1
vitaminada de abacate,300,274,24.3,11.2,17.3
