Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g)
omelete de espinafre,150,-0.21638968385264085,-0.6901314795818626,0.1610042238184619,0.3617255210100665
panqueca de aveia sem gluten e banana com chocolate,52,-0.5111985174393451,-0.31184289512852476,-0.41036691267291137,-0.4540471061303475
iogurte de granola e mel,150,-0.40801542568399857,-0.23478410940654856,-0.461382192716784,-0.3247172993885746
açaí com morango congelado,60,-0.7273916620695948,-0.5149978756682803,-0.8593013770589905,-0.5535315728547883
tapioca recheada com carne moida e queijo,236,0.5108054389945629,0.9771404296754411,0.609938688204541,-0.17549059930191346
muffin de frango e legumes,40,-0.22130316441241923,-0.38189633669395767,0.3446592319764034,-0.1456452592845812
"tapioca doce com banana, mel e amendoim",150,1.0709422228093008,1.691685533642857,-0.14508745644477378,0.4612099877345072
pão de queijo de mandioca,22,-0.7617860259880436,-0.5114952035900087,-0.849098321050216,-0.6231706995618966
panqueca de batata doce,30,-0.4522367507220042,0.11548309842061608,-0.8593013770589905,-0.7326036129587815
bolo sem gluten de laranja e chia,60,0.24056400820675067,0.6058571893786465,-0.6144280328484019,0.1826534809060731
bolo sem gluten de abacaxi com nozes,40,-0.3981884645644418,-0.4799711548855638,-0.6042249768396274,0.09311746085407661
bolo sem gluten de aveia com gotas de chocolate,60,-0.03459090314083992,0.15050981920333253,-0.5838188648220782,0.09311746085407661
omelete com mussarela e peito de frango,75,-0.3392266978471009,-0.8197303464779134,0.4262836800465995,0.1727050342336291
omelete com creme de ricota,150,-0.4571502312817826,-0.7952116419300119,0.058973663730716684,-0.7326036129587815
omelete de carne de sol,200,0.6189020113096877,-0.4799711548855638,2.88522017816126,1.2471372748575889
pão de milho com queijo,55,-0.692997298151146,-0.5149978756682803,-0.5532096967957547,-0.43415021278545934
pão de melado recheado,480,7.620611808993913,6.865132193250078,1.0894823206169437,8.250843732258216
pão de batata doce com frango,90,-0.4178423868035554,-0.10168257043222596,-0.05325995236580304,-0.6828613795965611
pão de batata doce com calabresa e cream cheese,150,0.1324674358916258,-0.7321635445211223,1.2833403847836595,0.2622410542856258
